iter	RMSE
0	11951.18614
1	11859.85246
2	11766.71543
3	11696.53171
4	11605.70669
5	11525.69791
6	11439.11133
7	11365.15359
8	11278.31319
9	11193.05281
10	11115.56365
11	11033.49587
12	10957.82608
13	10887.1815
14	10813.2435
15	10734.83037
16	10662.05442
17	10582.27045
18	10512.90678
19	10446.05711
20	10369.96709
21	10301.97376
22	10234.67133
23	10161.27
24	10098.58052
25	10029.02188
26	9967.744429
27	9896.587765
28	9836.550242
29	9776.350345
30	9713.372273
31	9646.709676
32	9586.471771
33	9517.825477
34	9461.447296
35	9401.887206
36	9338.434473
37	9274.387783
38	9210.845684
39	9146.508157
40	9091.846985
41	9036.570166
42	8977.379844
43	8916.242727
44	8856.941711
45	8804.06943
46	8751.177253
47	8694.184144
48	8639.443124
49	8584.79797
50	8536.769116
51	8491.799385
52	8436.855271
53	8381.676058
54	8329.813251
55	8283.072414
56	8237.12802
57	8189.53901
58	8138.21578
59	8093.233319
60	8046.674896
61	7999.197721
62	7952.989035
63	7905.619144
64	7864.057927
65	7816.085474
66	7773.155028
67	7733.139308
68	7688.121171
69	7647.162663
70	7610.233276
71	7568.14851
72	7531.423355
73	7488.936686
74	7453.213907
75	7411.381267
76	7371.418315
77	7331.871995
78	7291.503527
79	7253.101213
80	7218.596888
81	7180.76407
82	7145.468544
83	7106.968541
84	7072.138182
85	7037.275541
86	7002.466376
87	6970.585851
88	6940.671754
89	6911.554984
90	6879.680284
91	6852.262
92	6818.626773
93	6786.843994
94	6758.872936
95	6728.568677
96	6696.386475
97	6666.553511
98	6637.006388
99	6611.675835
100	6587.126113
101	6563.432806
102	6532.824108
103	6505.129265
104	6477.309377
105	6453.575965
106	6425.315223
107	6407.913545
108	6381.873046
109	6354.622619
110	6332.695038
111	6310.87073
112	6285.707937
113	6260.688749
114	6235.964119
115	6211.917629
116	6188.370479
117	6164.732084
118	6141.913377
119	6117.349039
120	6094.032511
121	6071.68836
122	6052.155588
123	6034.436741
124	6011.519007
125	5989.457226
126	5967.649937
127	5945.587455
128	5924.890614
129	5907.734425
130	5887.766834
131	5868.834266
132	5848.137855
133	5828.34959
134	5807.81473
135	5787.916004
136	5772.19316
137	5756.607728
138	5737.16297
139	5719.905923
140	5703.3797
141	5686.190122
142	5671.306545
143	5656.74649
144	5638.772972
145	5624.108771
146	5611.202535
147	5595.777558
148	5579.073137
149	5562.793023
150	5549.295244
151	5533.115705
152	5518.004968
153	5506.274555
154	5491.530461
155	5476.151439
156	5462.156645
157	5449.423353
158	5437.007204
159	5425.699674
160	5415.218414
161	5403.201088
162	5388.911547
163	5378.861431
164	5367.476189
165	5356.556604
166	5346.531133
167	5333.708383
168	5323.881449
169	5312.941918
170	5301.620559
171	5290.658435
172	5278.074913
173	5266.766712
174	5255.017784
175	5244.381157
176	5234.554735
177	5225.320292
178	5213.975819
179	5203.341122
180	5194.006143
181	5184.095978
182	5175.483616
183	5165.164092
184	5155.989114
185	5147.483293
186	5138.693023
187	5128.645943
188	5120.073886
189	5112.685792
190	5105.769066
191	5097.149811
192	5089.405091
193	5082.628699
194	5073.484876
195	5066.922335
196	5060.999801
197	5054.629027
198	5047.86482
199	5040.850252
200	5034.541844
201	5026.590855
202	5019.713954
203	5012.628715
204	5005.372766
205	4999.165842
206	4993.490518
207	4988.062287
208	4980.350819
209	4972.593767
210	4966.059569
211	4959.590772
212	4956.612293
213	4950.896159
214	4944.519063
215	4939.81436
216	4934.830873
217	4929.55423
