iter	RMSE
0	11570.7962
1	11174.60878
2	10777.31062
3	10367.23978
4	10006.50926
5	9667.458571
6	9334.159362
7	9024.056196
8	8765.733891
9	8480.384152
10	8219.515229
11	7962.973056
12	7748.804698
13	7529.538008
14	7314.413653
15	7116.923189
16	6951.426757
17	6799.515881
18	6636.662674
19	6516.423752
20	6381.994666
21	6249.117378
22	6119.063237
23	5998.025889
24	5910.240695
25	5824.400385
26	5740.044803
27	5663.388529
28	5575.780497
29	5503.372201
30	5429.513492
31	5365.668605
32	5303.249671
33	5246.888903
34	5202.982251
35	5159.204324
36	5117.479711
37	5079.942086
38	5034.522603
39	5001.258258
40	4966.157816
41	4940.385019
42	4911.810568
43	4883.827919
44	4855.130156
45	4831.664804
46	4812.895674
47	4792.279086
48	4774.753173
49	4757.001965
50	4741.961097
51	4728.45812
52	4717.493199
53	4703.739808
54	4688.35815
55	4676.972237
56	4662.76138
57	4653.885584
58	4641.242262
59	4630.343493
60	4621.998768
61	4613.926829
62	4607.455948
63	4597.579381
64	4588.9402
65	4582.825151
66	4578.351434
67	4574.869785
68	4569.717656
69	4563.780691
70	4557.833208
71	4550.228555
72	4545.188463
73	4537.547976
74	4534.374043
75	4530.081717
76	4523.011019
77	4519.640382
78	4516.053574
79	4511.999099
80	4507.939093
81	4503.600999
82	4500.652406
83	4497.448068
84	4495.07665
85	4493.081257
86	4490.983288
87	4487.354729
88	4483.695255
89	4480.584942
90	4474.711077
91	4471.873982
92	4468.332132
93	4466.046692
94	4463.316651
95	4460.961125
96	4456.959253
97	4453.934771
98	4451.395268
99	4447.032687
100	4444.004078
101	4442.174239
102	4439.330279
103	4436.705829
104	4434.288634
105	4432.45146
106	4430.194464
107	4427.676025
108	4424.756864
109	4422.205659
110	4420.116922
111	4418.484965
112	4417.154093
113	4414.300629
114	4410.683079
115	4409.071469
116	4406.830634
117	4405.748689
118	4403.037821
119	4400.664763
120	4399.503311
121	4397.693182
122	4395.358664
123	4393.570625
124	4391.654538
125	4389.565546
126	4388.723036
127	4387.434419
128	4386.529409
129	4385.262138
130	4382.958143
131	4381.557233
132	4380.190645
133	4379.07576
134	4378.377344
135	4375.853511
136	4374.514013
137	4373.187477
138	4371.312824
139	4368.569701
140	4366.159546
141	4364.961172
142	4363.824473
143	4362.863855
144	4361.890227
145	4359.241213
146	4356.863564
147	4356.13219
148	4354.521753
149	4354.053683
150	4351.621855
151	4350.811835
152	4350.033551
153	4347.625057
154	4346.596915
155	4344.650317
156	4343.637809
157	4341.074483
158	4337.753637
159	4336.267544
160	4333.971473
161	4332.240606
162	4331.136092
163	4330.768727
164	4329.333837
165	4326.724346
166	4325.218109
167	4323.24411
168	4321.894652
169	4320.220688
170	4319.026159
171	4317.066151
172	4315.709287
173	4314.848914
174	4314.068115
175	4311.490277
176	4309.661371
177	4307.658465
178	4305.436673
179	4304.651437
180	4303.372995
181	4302.526422
182	4301.731823
183	4298.781281
184	4297.83729
185	4295.658821
186	4294.912723
187	4293.609583
188	4292.52244
189	4291.602338
190	4290.349454
191	4289.637882
192	4288.408309
193	4285.981066
194	4284.887748
195	4284.358379
196	4283.624301
197	4281.658924
198	4279.775229
199	4279.121235
