iter	Passed	Remaining
0	1	200
1	2	203
2	2	186
3	3	173
4	4	168
5	5	164
6	5	159
7	6	156
8	7	153
9	7	150
10	8	151
11	9	147
12	10	147
13	11	150
14	12	148
15	12	146
16	13	143
17	13	141
18	14	139
19	15	137
20	15	136
21	16	134
22	17	133
23	18	132
24	18	131
25	19	131
26	20	130
27	21	131
28	23	137
29	24	136
30	24	135
31	26	138
32	26	136
33	27	134
34	28	132
35	28	131
36	29	130
37	30	128
38	30	127
39	31	126
40	32	124
41	32	123
42	33	121
43	34	120
44	34	119
45	35	118
46	36	118
47	37	117
48	37	116
49	38	116
50	39	115
51	40	115
52	41	114
53	42	113
54	42	113
55	43	112
56	44	110
57	44	109
58	45	108
59	46	107
60	46	106
61	47	105
62	48	104
63	48	103
64	49	103
65	50	102
66	51	101
67	51	100
68	52	100
69	53	99
70	54	98
71	54	97
72	55	96
73	56	95
74	56	94
75	57	93
76	57	92
77	58	91
78	58	90
79	59	89
80	60	88
81	60	87
82	61	86
83	62	85
84	62	85
85	63	84
86	64	83
87	64	82
88	65	81
89	66	81
90	67	80
91	67	79
92	68	78
93	69	77
94	69	76
95	70	76
96	70	75
97	71	74
98	72	73
99	72	72
100	73	72
101	74	71
102	74	70
103	75	69
104	76	68
105	76	68
106	77	67
107	78	66
108	79	65
109	79	65
110	80	64
111	81	63
112	81	63
113	82	62
114	83	61
115	84	61
116	84	60
117	85	59
118	86	58
119	86	57
120	87	57
121	88	56
122	88	55
123	89	54
124	90	54
125	90	53
126	91	52
127	92	51
128	92	51
129	93	50
130	94	49
131	95	49
132	96	48
133	96	47
134	97	47
135	98	46
136	99	45
137	99	44
138	100	44
139	101	43
140	101	42
141	102	41
142	102	41
143	103	40
144	104	39
145	104	38
146	105	38
147	106	37
148	106	36
149	107	35
150	108	35
151	109	34
152	110	33
153	110	33
154	111	32
155	112	31
156	112	30
157	113	30
158	114	29
159	115	28
160	115	28
161	116	27
162	117	26
163	117	25
164	118	25
165	119	24
166	120	23
167	120	23
168	122	22
169	123	21
170	123	20
171	124	20
172	125	19
173	126	18
174	127	18
175	127	17
176	128	16
177	129	15
178	129	15
179	130	14
180	131	13
181	131	13
182	132	12
183	133	11
184	134	10
185	134	10
186	135	9
187	136	8
188	137	7
189	138	7
190	139	6
191	139	5
192	140	5
193	141	4
194	141	3
195	142	2
196	143	2
197	143	1
198	144	0
199	145	0
