iter	RMSE
0	11681.24458
1	11340.56492
2	11008.12657
3	10674.29629
4	10364.67248
5	10054.48649
6	9777.721782
7	9495.749632
8	9254.468966
9	9014.535168
10	8811.091397
11	8581.903764
12	8397.678218
13	8203.561969
14	8017.098401
15	7830.526714
16	7650.374894
17	7501.103621
18	7345.263447
19	7182.192322
20	7025.893229
21	6902.012523
22	6772.904979
23	6639.61046
24	6512.808563
25	6409.69066
26	6313.226996
27	6212.686663
28	6115.610771
29	6020.326384
30	5931.460913
31	5844.860996
32	5773.283598
33	5695.693515
34	5635.906463
35	5577.817189
36	5522.599719
37	5469.880523
38	5408.792935
39	5355.07891
40	5309.543
41	5276.856633
42	5236.351199
43	5191.789344
44	5154.714271
45	5121.712763
46	5091.528339
47	5059.842864
48	5025.508015
49	5001.631495
50	4970.534421
51	4943.780429
52	4925.192333
53	4903.939365
54	4881.591312
55	4857.745136
56	4839.039656
57	4821.066306
58	4801.185937
59	4783.801904
60	4771.262206
61	4755.759751
62	4740.723962
63	4731.780719
64	4719.106923
65	4710.792904
66	4704.504653
67	4696.567296
68	4688.608515
69	4677.536047
70	4669.490772
71	4657.531809
72	4649.09949
73	4637.898738
74	4626.557746
75	4620.534523
76	4610.85753
77	4601.780644
78	4595.758194
79	4589.829067
80	4583.30795
81	4578.244537
82	4573.868576
83	4567.027128
84	4561.318838
85	4556.857141
86	4553.63299
87	4549.879114
88	4544.454962
89	4539.266637
90	4534.250934
91	4528.998734
92	4523.250576
93	4518.33574
94	4514.654399
95	4511.550294
96	4504.858412
97	4501.249137
98	4497.935142
99	4494.153675
100	4488.7823
101	4485.437174
102	4482.993652
103	4479.298994
104	4475.801819
105	4472.708068
106	4469.807634
107	4467.121059
108	4464.822763
109	4460.261897
110	4458.389398
111	4455.686254
112	4453.788142
113	4452.310811
114	4449.550397
115	4447.285876
116	4445.300749
117	4443.739845
118	4441.623179
119	4439.145684
120	4437.269011
121	4435.337753
122	4434.273083
123	4432.598959
124	4430.793159
125	4429.447941
126	4425.855711
127	4424.252984
128	4422.766939
129	4421.37244
130	4418.136982
131	4416.36553
132	4414.589281
133	4413.429029
134	4411.860295
135	4409.858921
136	4407.823964
137	4405.515118
138	4404.315732
139	4403.076093
140	4400.652361
141	4399.03543
142	4397.653068
143	4396.957789
144	4395.429452
145	4394.656769
146	4393.41052
147	4392.413074
148	4391.022956
149	4390.309631
150	4387.750188
151	4387.203372
152	4386.441194
153	4384.732484
154	4383.697293
155	4382.650158
156	4381.273484
157	4379.734287
158	4378.887974
159	4377.899036
160	4376.219342
161	4374.372146
162	4372.99286
163	4372.155272
164	4371.165744
165	4369.832146
166	4367.698241
167	4366.43687
168	4365.282799
169	4364.72161
170	4363.657326
171	4362.333594
172	4361.036509
173	4358.509769
174	4355.734003
175	4354.141958
176	4353.364089
177	4351.372164
178	4349.924542
179	4348.300213
180	4346.772681
181	4345.649589
182	4343.97488
183	4342.739078
184	4341.90197
185	4340.012344
186	4338.665314
187	4337.495295
188	4336.679833
189	4336.310777
190	4335.768918
191	4334.319163
192	4333.309653
193	4330.67123
194	4328.967052
195	4328.074819
196	4327.078824
197	4326.239267
198	4325.057306
199	4322.957749
