iter	Passed	Remaining
0	0	165
1	0	96
2	1	70
3	1	93
4	2	94
5	2	81
6	2	71
7	2	64
8	2	59
9	2	54
10	2	50
11	3	47
12	3	45
13	3	43
14	3	42
15	3	40
16	3	39
17	3	37
18	3	36
19	4	37
20	4	36
21	4	38
22	4	36
23	4	35
24	4	34
25	5	33
26	5	33
27	5	32
28	5	32
29	5	31
30	5	31
31	5	30
32	5	30
33	6	29
34	6	29
35	6	29
36	6	28
37	6	28
38	6	28
39	6	27
40	7	27
41	7	26
42	7	26
43	7	26
44	7	25
45	7	25
46	7	25
47	8	25
48	8	25
49	8	24
50	8	24
51	8	24
52	8	23
53	8	23
54	8	23
55	8	22
56	8	22
57	9	22
58	9	21
59	9	21
60	9	21
61	10	23
62	10	23
63	10	23
64	11	22
65	11	22
66	12	24
67	12	24
68	12	23
69	12	23
70	12	23
71	12	22
72	12	22
73	12	22
74	13	21
75	13	21
76	13	21
77	13	20
78	13	20
79	13	20
80	13	19
81	13	19
82	13	19
83	13	19
84	13	18
85	14	18
86	14	18
87	14	18
88	14	17
89	14	17
90	14	17
91	14	17
92	14	16
93	14	16
94	14	16
95	14	16
96	15	15
97	15	15
98	15	15
99	15	15
100	15	15
101	15	14
102	15	14
103	15	14
104	15	14
105	15	14
106	15	13
107	15	13
108	16	13
109	16	13
110	16	13
111	16	12
112	16	12
113	16	12
114	16	12
115	16	12
116	16	11
117	16	11
118	16	11
119	17	11
120	17	11
121	17	11
122	17	10
123	17	10
124	17	10
125	17	10
126	17	10
127	18	10
128	18	10
129	18	10
130	18	9
131	19	9
132	19	9
133	20	9
134	20	9
135	20	9
136	20	9
137	20	9
138	20	9
139	20	8
140	20	8
141	20	8
142	20	8
143	21	8
144	21	8
145	21	7
146	21	7
147	21	7
148	21	7
149	22	7
150	22	7
151	22	7
152	22	6
153	22	6
154	22	6
155	23	6
156	23	6
157	23	6
158	23	6
159	23	5
160	24	5
161	24	5
162	24	5
163	24	5
164	24	5
165	24	5
166	24	4
167	24	4
168	24	4
169	25	4
170	25	4
171	25	4
172	25	3
173	25	3
174	25	3
175	25	3
176	25	3
177	25	3
178	26	3
179	26	2
180	26	2
181	26	2
182	26	2
183	26	2
184	26	2
185	26	2
186	26	1
187	26	1
188	27	1
189	27	1
190	27	1
191	27	1
192	27	0
193	27	0
194	27	0
195	27	0
196	28	0
197	28	0
198	28	0
199	28	0
